ISBN,Book-Title,Image-URL-L
0440234743,The Testament,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
0452264464,Beloved (Plume Contemporary Fiction),http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
0971880107,Wild Animus,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
0345402871,Airframe,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
0345417623,Timeline,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
0446310786,To Kill a Mockingbird,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
0449005615,Seabiscuit: An American Legend,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
0671888587,I'll Be Seeing You,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
0553582747,From the Corner of His Eye,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
0425182908,Isle of Dogs,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
042518630X,Purity in Death,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg
0440225701,The Street Lawyer,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
042511774X,Breathing Lessons,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
0804106304,The Joy Luck Club,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
0140067477,The Tao of Pooh,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
0345465083,Seabiscuit,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
0316769487,The Catcher in the Rye,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
0671867156,Pretend You Don't See Her,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
