ISBN,Book-Title,Image-URL-L
0971880107,Wild Animus,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
0671027360,Angels &amp; Demons,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
0452282152,Girl with a Pearl Earring,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
0142001740,The Secret Life of Bees,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
0316666343,The Lovely Bones: A Novel,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
0312195516,The Red Tent (Bestselling Backlist),http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
0385504209,The Da Vinci Code,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
067976402X,Snow Falling on Cedars,http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg
0375727345,House of Sand and Fog,http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg
0316601950,The Pilot's Wife : A Novel,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg
