ISBN,rating,bool
002542730X,0,0
0060008032,0,0
0060096195,0,0
006016848X,0,0
0060173289,0,0
0060175400,0,0
006019491X,0,0
0060199652,0,0
0060391626,0,0
0060392452,0,0
0060502258,0,0
0060915544,0,0
0060916508,0,0
0060921145,0,0
0060922532,0,0
0060928336,0,0
0060929871,0,0
0060930535,0,0
0060932759,0,0
0060934417,0,0
0060938455,0,0
0060958022,0,0
0060959037,0,0
0060976845,0,0
0060977493,0,0
0060987103,0,0
0060987529,0,0
0060987561,0,0
006099486X,0,0
0061009059,0,0
006101351X,0,0
0061015725,0,0
0061020710,0,0
0061097101,0,0
0061097314,0,0
0062502182,0,0
0064400557,0,0
0064407667,0,0
0064407675,0,0
0064472272,0,0
0066214122,0,0
0070212570,0,0
0099771519,0,0
0140042598,0,0
0140067477,0,0
0140092323,0,0
0140119906,0,0
0140177396,0,0
0140179836,0,0
014023313X,0,0
0140244824,0,0
014025448X,0,0
0140254544,0,0
014028009X,0,0
0140293248,0,0
014029628X,0,0
0140298479,0,0
014100018X,0,0
0141000198,0,0
0142000205,0,0
0142001430,0,0
0142001740,0,0
0142001805,0,0
0142004235,0,0
0151008116,0,0
0156027321,0,0
0156628708,0,0
0312144075,0,0
0312195516,0,0
0312243022,0,0
0312265859,0,0
0312265867,0,0
0312278586,0,0
0312282990,0,0
0312291639,0,0
0312305060,0,0
0312421273,0,0
0312422156,0,0
031242227X,0,0
0312924585,0,0
0312924801,0,0
0312966091,0,0
0312966806,0,0
0312966970,0,0
0312971125,0,0
0312971346,0,0
0312974256,0,0
0312976275,0,0
0312980140,0,0
0312980159,0,0
0312982518,0,0
0312983271,0,0
031298328X,0,0
0312983824,0,0
0312983867,0,0
0312990456,0,0
0312995423,0,0
0316089699,0,0
0316096199,0,0
0316168688,0,0
0316182540,0,0
0316284955,0,0
0316569321,0,0
0316601950,0,0
0316602051,0,0
0316602906,0,0
0316666009,0,0
0316666343,0,0
0316693006,0,0
0316693200,0,0
0316693235,0,0
0316769487,0,0
0316776963,0,0
0316777722,0,0
0316777730,0,0
0316780375,0,0
0316781010,0,0
0316781142,0,0
0316781266,0,0
